entry_id,week_number,stage,q1_score,q2_score,q3_score,q4_score,participant_age,participant_gender,doodle_storage_path
018,2,1,2,3,1,3,21.0,male,week-2/w2_s1_018.png
019,2,1,5,1,1,2,18.0,female,week-2/w2_s1_019.png
020,2,1,4,5,3,3,18.0,female,week-2/w2_s1_020.png
021,2,1,5,4,3,3,22.0,female,week-2/w2_s1_021.png
022,2,1,4,4,5,5,18.0,female,week-2/w2_s1_022.png
023,2,1,2,4,5,3,20.0,female,week-2/w2_s1_023.png
024,2,1,5,1,5,3,19.0,male,week-2/w2_s1_024.png
025,2,1,5,4,5,5,19.0,female,week-2/w2_s1_025.png
026,2,1,5,2,4,2,20.0,female,week-2/w2_s1_026.png
027,2,1,5,4,4,1,27.0,female,week-2/w2_s1_027.png
028,2,1,5,4,5,5,19.0,female,week-2/w2_s1_028.png
029,2,1,5,2,3,2,20.0,female,week-2/w2_s1_029.png
030,2,1,5,3,5,4,21.0,female,week-2/w2_s1_030.png
031,2,1,1,3,4,1,21.0,female,week-2/w2_s1_031.png
032,2,1,5,2,2,2,25.0,female,week-2/w2_s1_032.png
033,2,1,3,5,5,4,,female,week-2/w2_s1_033.png
034,2,1,1,4,1,3,34.0,male,week-2/w2_s1_034.png
035,2,1,2,2,3,4,28.0,male,week-2/w2_s1_035.png
036,2,1,5,3,5,2,23.0,female,week-2/w2_s1_036.png
037,2,1,5,2,3,3,26.0,male,week-2/w2_s1_037.png
038,2,1,4,2,2,2,19.0,female,week-2/w2_s1_038.png
039,2,1,5,2,4,2,61.0,female,week-2/w2_s1_039.png
040,2,1,1,3,5,1,20.0,male,week-2/w2_s1_040.png
041,2,1,4,5,3,5,19.0,male,week-2/w2_s1_041.png
042,2,1,5,4,3,4,19.0,male,week-2/w2_s1_042.png
043,2,1,4,4,4,1,21.0,female,week-2/w2_s1_043.png
044,2,1,5,3,4,2,21.0,female,week-2/w2_s1_044.png
045,2,1,5,3,3,1,19.0,female,week-2/w2_s1_045.png
046,2,1,5,2,4,2,23.0,male,week-2/w2_s1_046.png
047,2,1,5,2,3,2,19.0,female,week-2/w2_s1_047.png
048,2,1,4,4,5,5,22.0,female,week-2/w2_s1_048.png
049,2,1,5,2,3,2,23.0,female,week-2/w2_s1_049.png
050,2,1,4,4,5,4,20.0,self_describe,week-2/w2_s1_050.png
051,2,1,4,3,5,2,29.0,male,week-2/w2_s1_051.png
052,2,1,2,3,4,2,25.0,male,week-2/w2_s1_052.png
053,2,1,4,4,5,4,20.0,female,week-2/w2_s1_053.png
054,2,1,5,3,3,4,24.0,nonbinary,week-2/w2_s1_054.png
055,2,1,5,5,2,5,25.0,female,week-2/w2_s1_055.png
056,2,1,1,3,4,4,20.0,female,week-2/w2_s1_056.png
057,2,1,5,3,3,5,19.0,female,week-2/w2_s1_057.png
058,2,1,5,4,1,3,20.0,female,week-2/w2_s1_058.png
059,2,1,5,3,2,2,21.0,female,week-2/w2_s1_059.png
060,2,1,4,3,5,3,20.0,male,week-2/w2_s1_060.png
061,2,1,5,2,4,3,23.0,male,week-2/w2_s1_061.png
062,2,1,2,4,5,4,19.0,female,week-2/w2_s1_062.png
